,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
100,100,100,R Ashwin,Ravichandran Ashwin,India,Right-hand bat,Right-arm Offspin,,31 years 145 days,,Bowling allrounder,"September 17, 1986, Madras (now Chennai), Tamil Nadu ",,,,"['India', 'Chennai Super Kings', 'Dindigul Dragons', 'Rising Pune Supergiants', 'Tamil Nadu', 'Worcestershire']",,,,,123.0,46
101,101,101,Mirwais Ashraf,Mirwais Ashraf,Afghanistan,Right-hand bat,Right-arm Fast,,29 years 224 days,,Bowler,"June 30, 1988, Kunduz, Afghanistan ",,,,"['Afghanistan', 'Band-e-Amir Region']",,,,,119.0,22
102,102,102,Hashmatullah Shahidi,Hashmatullah Shahidi,Afghanistan,Left-hand bat,Right-arm Offspin,,23 years 97 days,,Top-order batsman,"November 4, 1994, Logar ",Hashmat Shaidi,,,"['Afghanistan', 'Afghanistan A', 'Afghanistan Under-19s', 'Amo Region', 'Band-e-Amir Region', 'Speen Ghar Region']",,,,,1.0,1
103,103,103,Usman Ghani,Usman Ghani,Afghanistan,Right-hand bat,Not Specified,,21 years 81 days,,Opening batsman,"November 20, 1996 ",,,,"['Afghanistan', 'Afghanistan Under-19s', 'Speen Ghar Region']",,,,,213.0,11
104,104,104,Rohan Mustafa,Rohan Mustafa,United Arab Emirates,Left-hand bat,Right-arm Offspin,,29 years 125 days,,Top-order batsman,"October 7, 1988, Kohat ",,,,"['United Arab Emirates', 'United Arab Emirates A', 'United Arab Emirates Under-19s']",,,,,411.0,24
105,105,105,DR Tuffey,Daryl Raymond Tuffey,New Zealand,Right-hand bat,Right-arm Fast,,39 years 243 days,,Bowler,"June 11, 1978, Milton, Otago ",,,,"['New Zealand', 'Auckland', 'Chandigarh Lions', 'ICL World XI', 'Northern Districts']",,,,,5.0,3
106,106,106,HG Munsey,Henry George Munsey,Scotland,Left-hand bat,Right-arm Fast,,24 years 353 days,,Opening batsman,"February 21, 1993, Oxford ",,,,"['Scotland', 'Highlanders', 'Northamptonshire', 'Northamptonshire 2nd XI', 'Nottinghamshire 2nd XI', 'Scotland Development XI']",,,,,220.0,14
107,107,107,JWM Dalrymple,James William Murray Dalrymple,England,Right-hand bat,Right-arm Offspin,,37 years 19 days,6 ft 0 in ,,"January 21, 1981, Nairobi, Kenya ",,,"Radley College, Oxford University","['England', 'Glamorgan', 'Marylebone Cricket Club', 'Middlesex', 'Oxford MCCU', 'Oxford University']","JD, Pest",,Brother - SH Dalrymple,,60.0,3
108,108,108,F Behardien,Farhaan Behardien,South Africa,Right-hand bat,Right-arm Fast,,34 years 123 days,,Batting allrounder,"October 9, 1983, Johannesburg ",,,,"['South Africa', 'Kings XI Punjab', 'South Africa A', 'Titans', 'Western Province']",Abadi,,,,403.0,25
109,109,109,JO Ngoche,James Otieno Ngoche,Kenya,Right-hand bat,Right-arm Offspin,,30 years 11 days,,Bowler,"January 29, 1988, Nairobi, Kenya ",,,Parklands High School,"['Kenya', 'Kenya A', 'Kenya Under-19s', 'Western Chiefs']",,,"['Brother - LN Onyango', 'Brother - NN Odhiambo', 'Brother - SO Ngoche', 'Sister - M Bele', 'Sister - M Banja']",,3.0,6
110,110,110,B Stanlake,Billy Stanlake,Australia,Left-hand bat,Right-arm Fast,,23 years 97 days,,Bowler,"November 4, 1994 ",,,,"['Australia', 'Adelaide Strikers', 'Australia Under-19s', 'Queensland', 'Queensland Under-19s', 'Royal Challengers Bangalore']",,,,,0.0,1
111,111,111,CT Mutombodzi,Confidence Tinotenda Mutombodzi,Zimbabwe,Right-hand bat,Legbreak,,27 years 50 days,,Allrounder,"December 21, 1990, Harare ",,,,"['Zimbabwe', 'Mashonaland Eagles', 'Northerns (Zimbabwe)', 'Zimbabwe Under-19s']",,,,,18.0,5
112,112,112,RJ Sidebottom,Ryan Jay Sidebottom,England,Left-hand bat,Left-arm Fast,,40 years 25 days,6 ft 4 in ,,"January 15, 1978, Huddersfield, Yorkshire ",,,"King James Grammar School, Almondbury","['England', 'Nottinghamshire', 'Yorkshire']",,,Father - A Sidebottom,,5.0,18
113,113,113,NV Ojha,Naman Vinaykumar Ojha,India,Right-hand bat,Not Specified,Wicketkeeper,34 years 204 days,,Wicketkeeper batsman,"July 20, 1983, Ujjain, Madhya Pradesh ",,,,"['India', 'Central Zone', 'Delhi Daredevils', 'India A', 'Madhya Pradesh', 'Rajasthan Royals', 'Sunrisers Hyderabad']",,,,,12.0,2
